Stamm;Art;Protein;FimH-Variante;measure 1;measure 1_2;measure 2;measure 2_2;measure 3;measure 3_2;measure 4;measure 4_2;measure 5;measure 5_2;Median
7524;Rind EPEC;Su2;2;29496;26143;20713;19824;12834;11527;61837;50302;22925;25887;24406
7525;Rind ETEC;Su2;9;15837;20760;12198;15851;30963;29826;22749;21018;8461;9444;18306
7526;Rind ETEC;Su2;9;2602;1362;7871;8824;4329;3977;17226;12760;1332;2590;4153
7528;Rind EPEC;Su2;1;9691;9872;12837;12988;8750;7524;19369;17598;16337;14422;12913
7533;Rind EPEC;Su2;2;21320;20258;19168;17875;17610;18222;18125;17610;26888;26135;18695
7534;Rind ETEC;Su2;9;19455;20196;17756;18645;13728;8448;24624;23198;20426;16069;19050
7542;Schwein ETEC;Su2;;34;29;34;31;11;14;14;9;4;0;14
7554;Schwein ETEC;Su2;2;13558;7514;13520;13476;12674;11858;40328;41324;14967;14526;13539
7555;Rind EPEC;Su2;15;15178;14925;19203;17605;11083;16800;62786;58776;25045;23262;18404
7551;Schwein ETEC;Su2;1;84;104;39;41;14801;16017;39;4;4;4;40
