Stamm,Art,prot,FimH-Variante,measure 1,measure 1_2,measure 2,measure 2_2,measure 3,measure 3_2,Median (without negativ)
4310,Schwein Kommensale,Bo2,6,731,532,39,26,16,26,21
4418,Schwein Kommensale,Bo2,6,15576,16535,24441,20624,19520,20471,19943
5980,Schwein EPEC,Bo2,6,6,16,14,19,26,0,3
6596,Rind Kommensale,Bo2,6,10761,10095,17892,19326,11772,10657,11214
7552,Schwein ETEC,Bo2,6,1441,1688,7177,3407,2132,1602,1858
5207,Mensch EPEC,Bo2,7,141744,170567,26727,27158,47320,51444,49370
5283,Mensch EPEC,Bo2,7,79,54,99,69,153,113,37
5284,Mensch EPEC,Bo2,7,36,34,19,71,10595,9850,1
5995,Schwein EPEC,Bo2,7,12463,13746,25893,25134,26487,28162,25461
7519,Rind EPEC,Bo2,7,12666,12718,16198,15743,28384,27983,15918
5208,Mensch EPEC,Bo2,8,107021,95408,24590,24077,17969,16740,24322
5209,Mensch EPEC,Bo2,8,100165,111485,30529,22568,22824,22350,26665
5540,HFEC,Bo2,8,10551,12961,25246,24340,11774,8446,12315
5542,HFEC,Bo2,8,6902,6097,14120,14489,4207,4462,6447
5545,HFEC,Bo2,8,10833,11965,19056,19322,16359,15623,15939
5549,HFEC,Bo2,8,9449,10840,27084,26299,17667,18405,17984
5553,HFEC,Bo2,8,14410,13169,12076,12924,17206,17196,13737
5554,HFEC,Bo2,8,13778,13231,19971,20505,16131,16401,16214
5651,Mensch EPEC,Bo2,8,7594,7415,15490,16839,11685,12141,11861
5654,Mensch EPEC,Bo2,8,18360,13238,19998,19787,11895,11021,15747
5287,Mensch ETEC,Bo2,9,29746,27237,24293,25402,34993,33132,28466
5695,Mensch ETEC,Bo2,9,16332,15014,12651,13082,11983,15039,13917
5696,Mensch ETEC,Bo2,9,17109,15923,10573,11544,10841,9721,11061
7496,Rind ETEC,Bo2,9,13538,15793,12027,11091,4975,5988,11547
7504,Rind ETEC,Bo2,9,93,269,6365,5899,2048,3118,2571
7508,Rind ETEC,Bo2,9,85082,74763,18464,19505,16255,15918,18973
7511,Rind ETEC,Bo2,9,11509,8849,13394,12507,3130,1911,10153
7512,Rind ETEC,Bo2,9,24,26,34,44,29,34,6
7515,Rind ETEC,Bo2,9,1857,3157,8411,10457,2677,1924,2891
7517,Rind ETEC,Bo2,9,35054,34420,38945,33160,22489,22977,33764
7518,Rind ETEC,Bo2,9,3118,5334,3137,5384,2409,1874,3102
7520,Rind ETEC,Bo2,9,3016,3454,15539,17754,11621,13657,12587
7521,Rind ETEC,Bo2,9,2746,3133,3363,8249,9471,8062,5660
7522,Rind ETEC,Bo2,9,10905,17080,15891,14442,16834,17684,16310
